Source,Target
N,E
E,E:7
E:7,A
A,D
D,C
C,D
D,A
A,D
D,C
C,D
D,A
A,C
C,D
D,A
A,D
D,D#
D#,E
E,A
A,D
D,C
C,D
D,A
A,D
D,C
C,D
D,A
A,C
C,D
D,A
A,A/2
A/2,A/b3
A/b3,A/3
A/3,D
D,A
A,A/2
A/2,A/b3
A/b3,A/3
A/3,D
D,A/3
A/3,C
C,B
B,E
E,D
D,A
A,D
D,D#
D#,E
E,A
A,D
D,C
C,D
D,A
A,D
D,C
C,D
D,A
A,C
C,D
D,D
D,A
A,A
A,A/2
A/2,A/b3
A/b3,A/3
A/3,D
D,A
A,A/2
A/2,A/b3
A/b3,A/3
A/3,D
D,A/3
A/3,C
C,B
B,E
E,D
D,A
A,D
D,D#
D#,E
E,A
A,D
D,C
C,D
D,A
A,D
D,C
C,D
D,A
A,C
C,D
D,D
D,A
A,D
D,D#
D#,E
E,A
A,N
N,N
N,D
D,C/9
C/9,G/5
G/5,A/4
A/4,C/9
C/9,D/5
D/5,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D/5
D/5,D:7
D:7,G:maj7/3
G:maj7/3,G:minmaj7/5
G:minmaj7/5,D/5
D/5,D:7
D:7,G:maj7/3
G:maj7/3,G:minmaj7/5
G:minmaj7/5,D/5
D/5,D:7
D:7,G:maj7/3
G:maj7/3,G:minmaj7/5
G:minmaj7/5,D/5
D/5,D:7
D:7,G:maj7/3
G:maj7/3,G:minmaj7/5
G:minmaj7/5,D/5
D/5,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D/5
D/5,D/b7
D/b7,C
C,G
G,D
D,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D/5
D/5,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D/5
D/5,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D/5
D/5,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D/5
D/5,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D
D,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D
D,C
C,G
G,D
D,D
D,D
D,F
F,G#
G#,G
G,D
D,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D/5
D/5,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D/5
D/5,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D/5
D/5,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D/5
D/5,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D
D,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D
D,C
C,G
G,D
D,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D
D,D/b7
D/b7,G:maj7/3
G:maj7/3,G:minmaj7/b3
G:minmaj7/b3,D
D,D/b7
