Source,Target
N,N
N,D
D,D
D,G
G,D
D,G
G,D
D,G
G,"A:min7(*5,b6)"
"A:min7(*5,b6)",B:min
B:min,G:7
G:7,B:min
B:min,G:7
G:7,B:min
B:min,E:7
E:7,A
A,D
D,G
G,A
A,D
D,G
G,D
D,G
G,D
D,G
G,"A:min7(*5,b6)"
"A:min7(*5,b6)",B:min
B:min,G:7
G:7,B:min
B:min,G:7
G:7,B:min
B:min,E:7
E:7,A
A,D
D,G
G,A:7(#9)
A:7(#9),D
D,G
G,D
D,G
G,D
D,G
G,A:min(*5)
A:min(*5),B:min
B:min,G:7
G:7,B:min
B:min,G:7
G:7,B:min
B:min,E:7
E:7,A
A,D
D,G
G,A
A,D
D,G
G,D
D,G
G,D
D,G
G,"A:min7(*5,b6)"
"A:min7(*5,b6)",B:min
B:min,G:7
G:7,B:min
B:min,G:7
G:7,B:min
B:min,E:7
E:7,A
A,D
D,G
G,A:7(#9)
A:7(#9),D
D,G
G,A:7(#9)
A:7(#9),D
D,G
G,A:7(#9)
A:7(#9),D
D,G
G,A:7(#9)
A:7(#9),D
D,G
G,A:7(#9)
A:7(#9),N
N,N
N,E
E,D
D,E
E,E
E,D
D,E
E,E
E,D
D,E
E,E
E,D
D,E
E,E:min
E:min,A
A,E:min
E:min,F#:min
F#:min,B
B,E
E,D
D,E
E,E
E,D
D,E
E,E
E,D
D,E
E,E
E,D
D,E
E,E:min
E:min,A
A,E:min
E:min,F#:min
F#:min,B
B,E
E,D
D,E
E,E
E,D
D,E
E,E
E,D
D,E
E,N
N,N
N,D
D,A
A,A
A,B
B,D
D,A
A,A
A,B
B,D
D,A
A,A:7
A:7,D
D,D:min
D:min,A
A,A
A,B
B,D
D,A
A,D
D,A
A,A
A,B
B,D
D,A
A,A
A,B
B,D
D,A
A,A:7
A:7,D
D,D:min
D:min,A
A,A
A,B
B,D
D,A
A,D
D,A
A,B:min
B:min,B:hdim7/b3
B:hdim7/b3,D:dim7
D:dim7,A
A,B
B,E:sus4(b7)
E:sus4(b7),E
E,A
A,B
B,D
D,A
A,A
A,B
B,D
D,A
A,A:7
A:7,D
D,D:min
D:min,A
A,A
A,B
B,D
D,A
A,D
D,A
A,B:min
B:min,B:hdim7/b3
B:hdim7/b3,D:dim7
D:dim7,A
A,B
B,E:sus4(b7)
E:sus4(b7),E
E,A
A,B:7
B:7,D
D,A
A,A
A,B:7
B:7,D
D,A
A,A:7
A:7,D
D,D:min
D:min,A
A,A
A,B:7
B:7,D
D,A
A,D
D,A
A,A
A,B:7
B:7,D
D,A
A,N
N,N
N,E
E,B
B,A
A,E
E,A:maj6
A:maj6,A:min
A:min,E
E,E
E,B
B,A
A,E
E,A:maj6
A:maj6,A:min
A:min,E
E,G#:min
G#:min,A
A,G#:min
G#:min,A
A,G#:min
G#:min,A
A,A
A,B
B,E
E,B
B,A
A,E
E,A:maj6
A:maj6,A:min
A:min,E
E,E
E,B
B,A
A,E
E,A:maj6
A:maj6,A:min
A:min,E
E,G#:min
G#:min,A
A,G#:min
G#:min,A
A,G#:min
G#:min,A
A,A
A,B
B,E
E,B
B,A
A,E
E,A:maj6
A:maj6,A:min
A:min,E
E,G#:min
G#:min,A
A,G#:min
G#:min,A
A,G#:min
G#:min,A
A,A
A,B
B,E
E,B
B,A
A,E
E,A:maj6
A:maj6,A:min
A:min,E
E,A:maj6
A:maj6,A:min
A:min,E
E,A:maj6
A:maj6,A:min
A:min,E
E,N
N,N
N,G
G,G
G,G#
G#,A:min
A:min,D:min
D:min,Bb
Bb,C
C,G
G,A:min
A:min,D:min
D:min,Bb
Bb,C
C,G
G,A:min
A:min,C
C,G
G,Eb/5
Eb/5,D
D,G
G,A:min
A:min,D:min
D:min,Bb
Bb,C
C,G
G,A:min
A:min,D:min
D:min,Bb
Bb,C
C,G
G,A:min
A:min,C
C,G
G,Eb/5
Eb/5,D
D,G
G,A:min
A:min,D:min
D:min,Bb
Bb,C
C,G
G,A:min
A:min,D:min
D:min,Bb
Bb,C
C,G
G,A:min
A:min,C
C,G
G,Eb/5
Eb/5,D
D,G
G,C
C,G
G,Eb/5
Eb/5,D
D,C:7
C:7,G
G,Eb/5
Eb/5,D
D,C:7
C:7,G
G,N
N,N
N,G
G,D:7(#9)
D:7(#9),D:7(#9)
D:7(#9),G:7
G:7,D:7(#9)
D:7(#9),A:sus4
A:sus4,A
A,G:sus4
G:sus4,G
G,D:7(#9)
D:7(#9),D
D,C
C,F
F,G
G,D:7(#9)
D:7(#9),G:7
G:7,D:7(#9)
D:7(#9),A:sus4
A:sus4,A
A,G:sus4
G:sus4,G
G,D:7(#9)
D:7(#9),D
D,C
C,F
F,G
G,D:7(#9)
D:7(#9),G:7
G:7,D:7(#9)
D:7(#9),A:sus4
A:sus4,A
A,G:sus4
G:sus4,G
G,D:7(#9)
D:7(#9),D
D,C
C,F
F,G
G,D:7(#9)
D:7(#9),G:7
G:7,D:7(#9)
D:7(#9),A:sus4
A:sus4,A
A,G:sus4
G:sus4,G
G,D:7(#9)
