Source,Target
N,D
D,A
A,E
E,E
E,G
G,A
A,E
E,G
G,A
A,E
E,G
G,A
A,E
E,G
G,A
A,D
D,D/b7
D/b7,G/3
G/3,G:min(9)/b3
G:min(9)/b3,D/5
D/5,A
A,E
E,G
G,A
A,E
E,G
G,A
A,E
E,G
G,A
A,E
E,G
G,A
A,D
D,D/b7
D/b7,G/3
G/3,G:min(9)/b3
G:min(9)/b3,D/5
D/5,A
A,B
B,F#:min7
F#:min7,B
B,F#:min7
F#:min7,G#:(1)
G#:(1),A
A,B
B,E
E,G
G,A
A,E
E,G
G,A
A,E
E,G
G,A
A,E
E,G
G,A
A,D
D,D/b7
D/b7,G/3
G/3,Bb
Bb,D/5
D/5,A
A,D
D,D/b7
D/b7,G/3
G/3,Bb
Bb,D/5
D/5,A
A,D
D,D:min
D:min,N
N,N
N,D:maj6
D:maj6,D:maj6
D:maj6,G:maj6/3
G:maj6/3,D
D,G:maj6/3
G:maj6/3,E:min
E:min,A
A,D:maj6
D:maj6,B:min7
B:min7,E:min
E:min,A
A,D:min
D:min,G:min/5
G:min/5,D:min
D:min,Bb/3
Bb/3,C/5
C/5,C
C,D:min
D:min,D:min7
D:min7,D:maj6
D:maj6,D:maj6
D:maj6,G:maj6/3
G:maj6/3,D
D,G:maj6/3
G:maj6/3,E:min
E:min,A
A,D:maj6
D:maj6,B:min7
B:min7,E:min
E:min,A
A,D:min
D:min,G:min/5
G:min/5,D:min
D:min,Bb/3
Bb/3,C/5
C/5,C
C,D:min
D:min,D:min7
D:min7,D:maj6
D:maj6,D:maj6
D:maj6,D:maj6/5
D:maj6/5,D:maj6
D:maj6,D:maj6/5
D:maj6/5,G:maj6/5
G:maj6/5,G:maj6/2
G:maj6/2,G:maj6/5
G:maj6/5,G:maj6/2
G:maj6/2,D
D,D/5
D/5,D
D,D/5
D/5,G:maj6/5
G:maj6/5,G:maj6/2
G:maj6/2,G:maj6/5
G:maj6/5,G:maj6/2
G:maj6/2,E:min
E:min,A
A,D:maj6
D:maj6,B:min7
B:min7,E:min
E:min,A
A,D:min
D:min,G:min/5
G:min/5,D:min
D:min,Bb/3
Bb/3,C/5
C/5,C
C,D:min
D:min,D:min7
D:min7,D:maj6
D:maj6,D:maj6
D:maj6,D:maj6/5
D:maj6/5,D:maj6
D:maj6,D:maj6/5
D:maj6/5,G:maj6/5
G:maj6/5,G:maj6/2
G:maj6/2,G:maj6/5
G:maj6/5,G:maj6/2
G:maj6/2,D
D,D/5
D/5,D
D,D/5
