Source,Target
N,B:min
B:min,G
G,E
E,A
A,A
A,C#:min
C#:min,F#:min
F#:min,D
D,G
G,A
A,A
A,C#:min
C#:min,F#:min
F#:min,D
D,G
G,A
A,B:min
B:min,G
G,E
E,A
A,A
A,A
A,C#:min
C#:min,F#:min
F#:min,D
D,G
G,A
A,A
A,C#:min
C#:min,F#:min
F#:min,D
D,G
G,A
A,B:min
B:min,G
G,E
E,A
A,A
A,A
A,C#:min
C#:min,F#:min
F#:min,D
D,G
G,A
A,A
A,C#:min
C#:min,F#:min
F#:min,D
D,G
G,A
A,B:min
B:min,G
G,E
E,A
A,F#:min
F#:min,A
A,A:maj6
A:maj6,N
N,N
N,D
D,F
F,G
G,A:7
A:7,D
D,C
C,G
G,A
A,D
D,C
C,G
G,A
A,B:min
B:min,G:min
G:min,B:min
B:min,G:min
G:min,D
D,G
G,D
D,F
F,F
F,G
G,D
D,C
C,G
G,A
A,D
D,C
C,G
G,A
A,B:min
B:min,G:min
G:min,B:min
B:min,G:min
G:min,D
D,G
G,D
D,D
D,A:min
A:min,D
D,G
G,B:min
B:min,E
E,A
A,D
D,C
C,G
G,A
A,D
D,C
C,G
G,A
A,B:min
B:min,G:min
G:min,B:min
B:min,G:min
G:min,D
D,G
G,D
D,F
F,F
F,G
G,D
D,C
C,G
G,A
A,D
D,C
C,G
G,A
A,B:min
B:min,G:min
G:min,B:min
B:min,G:min
G:min,D
D,G
G,D
D,D
D,A:min
A:min,D
D,G
G,G
G,B:min
B:min,E
E,A
A,A
A,D
D,C
C,G
G,A
A,D
D,C
C,G
G,A
A,B:min
B:min,G:min
G:min,B:min
B:min,G:min
G:min,D
D,G
G,D
D,F
F,D
D,D
D,N
N,N
N,G
G,G
G,D
D,F
F,G
G,C
C,F
F,C
C,G
G,D
D,F
F,G
G,C
C,F
F,C
C,D
D,G
G,D
D,F
F,G
G,C
C,F
F,C
C,G
G,D
D,F
F,G
G,C
C,F
F,C
C,D
D,D/b7
D/b7,D/6
D/6,D/5
D/5,G
G,C
C,D:sus4
D:sus4,D
D,D:maj(2)
D:maj(2),D
D,G
G,C
C,D:sus4
D:sus4,D
D,D:maj(2)
D:maj(2),D
D,G
G,D
D,F
F,G
G,C
C,F
F,C
C,G
G,D
D,F
F,G
G,C
C,F
F,C
C,D
D,G
G,D
D,F
F,G
G,C
C,F
F,C
C,G
G,D
D,F
F,G
G,C
C,F
F,C
C,D
D,D/b7
D/b7,D/6
D/6,D/5
D/5,G
G,C
C,D:sus4
D:sus4,D
D,D:maj(2)
D:maj(2),D
D,G
G,C
C,D:sus4
D:sus4,D
D,D:maj(2)
D:maj(2),D
D,G
G,D
D,F
F,G
G,C
C,F
F,C
C,G
G,D
D,F
F,G
G,C
C,F
F,C
C,G
G,N
N,N
N,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,A
A,D
D,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,A
A,D
D,A
A,A:7
A:7,A:sus4
A:sus4,A
A,F#:min
F#:min,C#:min
C#:min,F#:min
F#:min,B:min
B:min,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,A
A,D
D,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,A
A,D
D,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,F#:min
F#:min,C#:min
C#:min,F#:min
F#:min,B:min
B:min,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,D
D,E
E,A
A,D
D,E
E,B
B,E
E,A
A,D
D,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,A
A,D
D,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,F#:min
F#:min,C#:min
C#:min,F#:min
F#:min,B:min
B:min,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,D
D,E
E,A
A,D
D,E
E,B
B,E
E,A
A,D
D,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,A
A,D
D,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,F#:min
F#:min,C#:min
C#:min,F#:min
F#:min,B:min
B:min,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,F#:min
F#:min,D
D,A
A,A:sus2
A:sus2,A:sus4
A:sus4,A
A,N
N,N
N,N
N,A
A,D
D,A
A,D
D,A
A,G
G,A
A,D
D,A
A,G
G,A
A,D
D,D
D,E
E,A
A,D
D,A
A,D
D,A
A,G
G,A
A,D
D,A
A,G
G,A
A,D
D,D
D,E
E,A
A,D
D,A
A,D
D,C
C,G
G,C
C,G
G,C
C,E
E,A
A,E
E,A
A,G
G,A
A,D
D,A
A,G
G,A
A,D
D,D
D,E
E,A
A,D
D,A
A,D
D,C
C,G
G,C
C,G
G,C
C,E
E,A
A,E
E,A
A,G
G,A
A,D
D,A
A,G
G,A
A,D
D,D
D,E
E,A
A,D
D,A
A,D
D,A
A,D
D,A
A,N
N,N
N,B:(6)
B:(6),B:(1)
B:(1),B:(6)
B:(6),E
E,C#:min
C#:min,F#:min9
F#:min9,B
B,E
E,G#
G#,F#:min
F#:min,B
B,E
E,G#
G#,F#:min
F#:min,B
B,E
E,C#:min
C#:min,F#:min9
F#:min9,B
B,E
E,G#
G#,F#:min
F#:min,B
B,E
E,G#
G#,F#:min
F#:min,B
B,E
E,C#:min
C#:min,F#:min9
F#:min9,B
B,F#:min
F#:min,D
D,G
G,C
C,G
G,G
G,C
C,F
F,E
E,G#
G#,F#:min
F#:min,B
B,E
E,G#
G#,F#:min
F#:min,B
B,E
E,C#:min
C#:min,F#:min9
F#:min9,B
B,F#:min
F#:min,D
D,G
G,C
C,G
G,G
G,C
C,F
F,E
E,G#
G#,F#:min
F#:min,B
B,E
E,G#
G#,F#:min
F#:min,B
B,E
E,C#:min
C#:min,F#:min9
F#:min9,B
B,F#:min
F#:min,D
D,A
A,E
E,N
N,N
N,A
A,A
A,A
A,B:min
B:min,E
E,F#:min
F#:min,D
D,F#:min
F#:min,G:maj7
G:maj7,F#:min
F#:min,E
E,A
A,A
A,B:min
B:min,E
E,F#:min
F#:min,D
D,F#:min
F#:min,G:maj7
G:maj7,F#:min
F#:min,E
E,A
A,D:7
D:7,E
E,D:7
D:7,E
E,A
A,B:min
B:min,E
E,F#:min
F#:min,D
D,F#:min
F#:min,G:maj7
G:maj7,F#:min
F#:min,E
E,A
A,D:7
D:7,E
E,D:7
D:7,E
E,A
A,B:min
B:min,E
E,F#:min
F#:min,D
D,F#:min
F#:min,G:maj7
G:maj7,F#:min
F#:min,E
E,A
A,A
A,N
N,N
N,G:(1)
G:(1),G:(7)
G:(7),G:(6)
G:(6),D
D,D:7
D:7,G
G,G
G,C
C,G
G,D
D,G
G,C
C,D
D,G
G,G
G,N
N,D
D,G
G,D
D,G
G,D
D,G
G,A
A,D
D,G
G,C
C,G
G,D
D,G
G,C
C,D
D,G
G,G
G,D
D,G
G,D
D,G
G,G
G,C
C,G
G,D
D,G
G,C
C,D
D,G
G,N
N,D
D,G
G,D
D,G
G,D
D,G
G,A
A,D
D,G
G,C
C,G
G,D
D,G
G,C
C,D
D,G
G,D
D,G
G,G
G,N
N,N
N,C
C,A:min
A:min,C
C,A:min
A:min,C
C,E:min/5
E:min/5,Bb
Bb,F
F,G
G,G:aug
G:aug,C
C,E:min/5
E:min/5,Bb
Bb,F
F,G
G,G:aug
G:aug,F
F,G
G,C
C,A:min
A:min,Bb
Bb,G
G,C
C,A:min
A:min,Bb
Bb,G
G,F
F,G
G,C
C,E:min/5
E:min/5,Bb
Bb,F
F,G
G,G:aug
G:aug,C
C,E:min/5
E:min/5,Bb
Bb,F
F,G
G,G:aug
G:aug,F
F,G
G,C
C,A:min
A:min,Bb
Bb,G
G,C
C,A:min
A:min,Bb
Bb,G
G,F
F,G
G,F
F,G
G,C
C,A:min
A:min,C
C,A:min
A:min,C
C,A:min
A:min,C
C,N
N,N
N,G
G,G
G,Bb
Bb,D:7(#9)
D:7(#9),G
G,A:min
A:min,C
C,G
G,A:min
A:min,A:min
A:min,C
C,G
G,B:min
B:min,B:min7
B:min7,D:7
D:7,G
G,C
C,D
D,A:min
A:min,A:min7
A:min7,C:maj7
C:maj7,G
G,A:min7
A:min7,A:min7
A:min7,C:maj7
C:maj7,G:7
G:7,B:min7
B:min7,B:min7
B:min7,D:7
D:7,G
G,C
C,D:7
D:7,E:min
E:min,A
A,B:min
B:min,A
A,E
E,A
A,A
A,D:7
D:7,A:min7
A:min7,C:maj7
C:maj7,G:7
G:7,A:min7
A:min7,A:min7
A:min7,C:maj7
C:maj7,G:7
G:7,B:min7
B:min7,D:7
D:7,G
G,C
C,D:7
D:7,G
G,C
C,G
G,D
D,D:7
D:7,G
G,C
C,D:7
D:7,E:min
E:min,A
A,B:min
B:min,A
A,E
