Source,Target
N,A:7
A:7,C:7
C:7,G
G,D
D,G:7
G:7,A:7
A:7,C:7
C:7,G:7
G:7,G:7
G:7,A:7
A:7,C:7
C:7,G:7
G:7,A:7
A:7,C:7
C:7,G
G,C
C,G
G,C:7
C:7,F
F,C
C,D
D,G
G,Bb:maj6
Bb:maj6,C
C,G
G,C
C,G
G,G
G,Bb:maj6
Bb:maj6,C
C,G
G,A
A,D
D,C
C,G
G,A:7
A:7,C:sus4
C:sus4,C/9
C/9,G
G,C
C,F:7
F:7,C
C,D
D,G:7
G:7,A:7
A:7,C:7
C:7,G:7
G:7,G:7
G:7,A:7
A:7,C:7
C:7,G:7
G:7,A:7
A:7,C:7
C:7,G
G,C:7
C:7,G
G,C
C,C
C,D
D,E
E,E
E,B/3
B/3,F#:min/5
F#:min/5,F#:min
F#:min,F#:min
F#:min,B
B,E
E,E
E,B
B,F#:min
F#:min,F#:min
F#:min,B
B,E
E,D
D,A
A,E
E,D
D,A
A,E
E,A
A,E
E,B
B,E
E,B
B,F#:min
F#:min,F#:min
F#:min,B
B,E
E,E
E,B
B,F#:min
F#:min,F#:min
F#:min,B
B,E
E,D
D,A
A,E
E,D
D,A
A,E
E,A
A,E
E,C#:min
C#:min,F#
F#,E
E,D
D,A
A,C#:min
C#:min,F#
F#,E
E,D
D,A
A,E
E,B
B,F#:min
F#:min,F#:min
F#:min,B
B,E
E,E
E,B
B,F#:min
F#:min,F#:min
F#:min,B
B,E
E,D
D,A
A,E
E,D
D,A
A,E
E,A
A,E
E,C#:min
C#:min,F#
F#,E
E,D
D,A
A,C#:min
C#:min,F#
F#,E
E,D
D,A
A,D
D,A
A,E
E,D
D,A
A,E
E,A
A,E
E,D
D,A
A,C/5
C/5,D:9/5
D:9/5,E
E,N
N,N
N,A/5
A/5,A:7/b7
A:7/b7,F#:min7
F#:min7,D:min/b3
D:min/b3,A
A,A:7/b7
A:7/b7,F#:min7
F#:min7,F:aug
F:aug,A/5
