Source,Target
N,E
E,A
A,E
E,B
B,E
E,E:7/3
E:7/3,A
A,A:min/b3
A:min/b3,E
E,B
B,E
E,A
A,E
E,B
B,E
E,E:7/3
E:7/3,A
A,A:min/b3
A:min/b3,E
E,B
B,E
E,A
A,B
B,A
A,E
E,A
A,E
E,B
B,E
E,A
A,A:min/b3
A:min/b3,E
E,B
B,E
E,B
B,E
E,A
A,E
E,B
B,E
E,A
A,B
B,A
A,E
E,A
A,E
E,B
B,E
E,E:7/3
E:7/3,A
A,A:min/b3
A:min/b3,E
E,B
B,E
E,B
B,E
E,B
B,A
A,E
E,E:9
E:9,N
N,N
N,F
F,G
G,C
C,A:min
A:min,G
G,C
C,F
F,C
C,F
F,G
G,C
C,A:min
A:min,C
C,F
F,C
C,F
F,G
G,C
C,A:min
A:min,C
C,A:min
A:min,G
G,C
C,F
F,C
C,F
F,G
G,C
C,A:min
A:min,C
C,A:min
A:min,G
G,C
C,F
F,C
C,F
F,G
G,C
C,A:min
A:min,C
C,A:min
A:min,C
C,A:min
A:min,C
C,N
N,N
N,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,E:min
E:min,A
A,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,E:min
E:min,A
A,D
D,D/2
D/2,D/3
D/3,G
G,D
D,D/2
D/2,D/3
D/3,G
G,E:7
E:7,A
A,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,E:min
E:min,A
A,D
D,D/2
D/2,D/3
D/3,G
G,D
D,D/2
D/2,D/3
D/3,G
G,G:min
G:min,E:7
E:7,A
A,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,E:min
E:min,A
A,D
D,B:min
B:min,D
D,B:min
B:min,D
D,B:min
B:min,D
D,N
N,N
N,Bb
Bb,Bb
Bb,Eb:7
Eb:7,Bb
Bb,F:9
F:9,Eb:9
Eb:9,Bb
Bb,F
F,Bb
Bb,Eb:7
Eb:7,Bb
Bb,F:9
F:9,Eb:9
Eb:9,Bb
Bb,Bb:7
Bb:7,Eb
Eb,Bb
Bb,Eb
Eb,F
F,Bb
Bb,Eb:7
Eb:7,Bb
Bb,F:9
F:9,Eb:9
Eb:9,Bb
Bb,Bb:7
Bb:7,Eb
Eb,Bb
Bb,Eb
Eb,F
F,Bb
Bb,Eb:7
Eb:7,Bb
Bb,F:9
F:9,Eb:9
Eb:9,Bb
Bb,F
F,Bb
Bb,Eb
Eb,Eb:min
Eb:min,N
N,N
N,B
B,A
A,E
E,B
B,E
E,A
A,E
E,B
B,A
A,E
E,B
B,E
E,A
A,E
E,B
B,A
A,E
E,B
B,E
E,A
A,E
E,B
B,A
A,E
E,B
B,E
E,A
A,E
E,B
B,A
A,E
E,B
B,E
E,A
A,E
E,B
B,A
A,E
E,B
B,E
E,A
A,E
E,B
B,A
A,E
E,B
B,E
E,A
A,E
E,B
B,N
N,N
N,E
E,E:maj7
E:maj7,F#:min7
F#:min7,G#:min7
G#:min7,F#:min7
F#:min7,B:7
B:7,E
E,E:maj7
E:maj7,F#:min7
F#:min7,G#:min7
G#:min7,F#:min7
F#:min7,B:7
B:7,E
E,G#
G#,C#:min
C#:min,A
A,F#:9
F#:9,B
B,E:maj7
E:maj7,F#:min7
F#:min7,G#:min7
