Source,Target
N,G:sus4(b7)
G:sus4(b7),G
G,C
C,G
G,F
F,G
G,G
G,C
C,G
G,F
F,G
G,C
C,D
D,G
G,C
C,G
G,G
G,C
C,G
G,F
F,G
G,G
G,C
C,G
G,F
F,G
G,C
C,D
D,G
G,C
C,G
G,B:min
B:min,E:min
E:min,B:min
B:min,G
G,E:min
E:min,C
C,D:7
D:7,G
G,C
C,G
G,F
F,G
G,G
G,C
C,G
G,F
F,G
G,C
C,D
D,G
G,C
C,G
G,G/5
G/5,G
G,C
C,G
G,F
F,G
G,G
G,C
C,G
G,F
F,G
G,C
C,D
D,G
G,C
C,G
G,B:min
B:min,E:min
E:min,B:min
B:min,G
G,E:min
E:min,C
C,D:7
D:7,G
G,C
C,G
G,F
F,G
G,G
G,C
C,G
G,F
F,G
G,C
C,D
D,G
G,C
C,G
G,G:sus4/5
G:sus4/5,G
G,C
C,G
G,C
C,G
G,C
C,F:maj9(*7)
F:maj9(*7),N
N,N
N,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,E:min/b3
E:min/b3,E:min
E:min,C
C,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,E:min/b3
E:min/b3,E:min
E:min,C
C,B
B,E:min
E:min,C
C,G
G,B
B,E:min
E:min,G
G,G:7
G:7,C
C,D
D,G
G,E:min
E:min,C
C,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,E:min/b3
E:min/b3,E:min
E:min,C
C,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,E:min/b3
E:min/b3,E:min
E:min,C
C,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,E:min/b3
E:min/b3,E:min
E:min,C
C,B:7
B:7,E:min
E:min,C
C,G
G,B
B,E:min
E:min,E:min
E:min,G
G,G:7
G:7,C
C,D
D,G
G,E:min
E:min,C
C,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,G
G,D
D,N
N,N
N,N
N,Eb:min
Eb:min,D
D,Db
Db,Bb:min
Bb:min,Eb:min
Eb:min,D
D,E:min7
E:min7,A
A,D
D,E:min
E:min,F#:min
F#:min,F:dim
F:dim,E:min7
E:min7,A
A,D
D,E:min
E:min,F#:min
F#:min,F:dim
F:dim,E:min7
E:min7,A
A,D
D,G:min
G:min,A
A,D
D,E:min
E:min,F#:min
F#:min,F:dim
F:dim,E:min7
E:min7,A
A,D
D,E:min
E:min,F#:min
F#:min,F:dim
F:dim,E:min7
E:min7,A
A,D:9
D:9,D:9
D:9,G
G,G:min
G:min,G:min
G:min,D
D,A:7
A:7,D
D,E:min
E:min,F#:min
F#:min,F:dim
F:dim,E:min7
E:min7,A
A,D
D,E:min
E:min,F#:min
F#:min,F:dim
F:dim,E:min7
E:min7,A
A,D:9
D:9,D:9
D:9,G
G,G:min
G:min,G:min
G:min,D
D,A:7
A:7,D
D,E:min
E:min,F#:min
F#:min,F:dim
F:dim,E:min7
E:min7,A
A,D
D,E:min
E:min,F#:min
F#:min,F:dim
F:dim,E:min7
E:min7,A
A,D
D,G:min
G:min,D
D,G:min
G:min,D
D,N
N,N
N,C#:min
C#:min,F#:min
F#:min,G#
G#,C#:min
C#:min,F#:min
F#:min,G#
G#,C#:min
C#:min,F#:min
F#:min,G#
G#,A
A,B
B,E:maj6
E:maj6,B
B,E
E,G#:min
G#:min,F#:min
F#:min,B
B,E
E,G#:min
G#:min,F#:min
F#:min,B
B,A
A,E
E,C#:min
C#:min,A
A,B:aug
B:aug,E
E,B
B,E
E,G#:min
G#:min,F#:min
F#:min,B
B,E
E,G#:min
G#:min,F#:min
F#:min,B
B,A
A,E
E,C#:min
C#:min,A
A,B:aug
B:aug,E
E,C#:min
C#:min,F#:min
F#:min,G#
G#,C#:min
C#:min,F#:min
F#:min,G#
G#,C#:min
C#:min,F#:min
F#:min,G#
G#,A
A,B
B,E:maj6
E:maj6,B
B,E
E,G#:min
G#:min,F#:min
F#:min,B
B,E
E,G#:min
G#:min,F#:min
F#:min,B
B,A
A,E
E,C#:min
C#:min,A
A,B:aug
B:aug,E
E,C#:min
C#:min,F#:min
F#:min,G#
G#,C#:min
C#:min,F#:min
F#:min,G#
G#,C#:min
C#:min,F#:min
F#:min,G#
G#,A
A,B
B,E:maj6
E:maj6,B
B,E
E,G#:min
G#:min,F#:min
F#:min,B
B,E
E,G#:min
G#:min,F#:min
F#:min,B
B,A
A,E
E,C#:min
C#:min,A
A,B:aug
B:aug,C#:min
C#:min,F#:min
F#:min,G#
G#,A
A,B
B,C#:min
C#:min,F#:min
F#:min,G#
G#,A
