Source,Target
N,D:7
D:7,D:7(#9)
D:7(#9),D:7
D:7,D:7(#9)
D:7(#9),D:7
D:7,C
C,G:7
G:7,D:7
D:7,D:7(#9)
D:7(#9),D:7
D:7,D:7(#9)
D:7(#9),D:7
D:7,C
C,G:7
G:7,D:7
D:7,C:9
C:9,D:7
D:7,C:9
C:9,D:7
D:7,C
C,G:7
G:7,D:7
D:7,D:7(#9)
D:7(#9),D:7
D:7,D:7(#9)
D:7(#9),D:7
D:7,C
C,G:7
G:7,D:7
D:7,D:7
D:7,D:7(#9)
D:7(#9),D:7
D:7,D:7(#9)
D:7(#9),D:7
D:7,C
C,G:7
G:7,D:7
D:7,F:7
F:7,D:7
D:7,D:7(#9)
D:7(#9),D:7
D:7,N
N,N
N,C
C,E:min
E:min,C
C,E:min
E:min,E:min
E:min,C
C,E:min
E:min,E:min
E:min,E:min/b7
E:min/b7,C
C,E:min
E:min,E:min7
E:min7,E:min6
E:min6,C/3
C/3,E:min
E:min,E:min7
E:min7,E:min6
E:min6,C/3
C/3,E:min
E:min,E:min
E:min,C
C,E:min
E:min,E:min
E:min,C
C,E:min
E:min,E:min7
E:min7,E:min6
E:min6,C/3
C/3,E:min
E:min,E:min7
E:min7,E:min6
E:min6,C/3
C/3,E:min
E:min,C
C,E:min
E:min,C
C,E:min
E:min,E:min
E:min,C
C,E:min
E:min,E:min
E:min,C
C,E:min
E:min,E:min7
E:min7,E:min6
E:min6,C/3
C/3,E:min
E:min,E:min7
E:min7,E:min6
E:min6,C/3
C/3,E:min
E:min,F#:min7
F#:min7,E:min
E:min,N
N,N
N,Eb:min
Eb:min,Ab:min
Ab:min,Gb
Gb,B
B,Gb
Gb,Bb:7
Bb:7,Eb:min
Eb:min,Ab:min
Ab:min,Gb
Gb,B
B,Gb
Gb,B
B,Gb
Gb,Ab:min
Ab:min,Bb:min
Bb:min,Ab:min
Ab:min,B:maj7
B:maj7,Eb:min
Eb:min,Ab:min
Ab:min,Gb
Gb,B
B,Gb
Gb,Bb:7
Bb:7,Eb:min
Eb:min,Ab:min
Ab:min,Gb
Gb,B
B,Gb
Gb,B
B,Gb
Gb,Ab:min
Ab:min,Bb:min7
Bb:min7,Ab:min
Ab:min,B:maj7
B:maj7,Eb:min
Eb:min,Db:min
Db:min,Eb:7
Eb:7,Ab:min
Ab:min,E
E,Eb:7
Eb:7,Ab:min
Ab:min,Gb
Gb,B
B,Gb
Gb,Bb:7
Bb:7,Eb:min
Eb:min,Ab:min
Ab:min,Gb
Gb,B
B,Gb
Gb,B
B,Gb
Gb,Ab:min
Ab:min,Bb:min
Bb:min,Ab:min
Ab:min,B:maj7
B:maj7,Ab:min7
Ab:min7,Eb:min
Eb:min,Db:min
Db:min,Eb:7
Eb:7,Ab:min
Ab:min,E
E,Eb:7
Eb:7,Ab:min
Ab:min,Gb
Gb,B
B,Gb
Gb,Bb:7
Bb:7,Eb:min
Eb:min,Ab:min
Ab:min,Gb
Gb,B
B,Gb
Gb,B
B,Gb
Gb,Ab:min
Ab:min,Bb:min
Bb:min,Ab:min
Ab:min,B:maj7
B:maj7,Ab:min7
Ab:min7,Eb:min
Eb:min,Eb:min
Eb:min,N
N,N
N,N
N,C:min(*b3)
C:min(*b3),C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),Bb
Bb,C:min(*b3)
C:min(*b3),N
N,N
N,G
G,B:min
B:min,Bb
Bb,A:sus4
A:sus4,A:min
A:min,D
D,G
G,A:min7
A:min7,G/3
G/3,C
C,G
G,A:min7
A:min7,G/3
G/3,C
C,F#:min
F#:min,B:7
B:7,F#:min
F#:min,B:7
B:7,E:min
E:min,A:min
A:min,A:min7
A:min7,D:7
D:7,G
G,A:min7
A:min7,G/3
G/3,C
C,G
G,A:min7
A:min7,G/3
G/3,C
C,F#:min
F#:min,B:7
B:7,F#:min
F#:min,B:7
B:7,E:min
E:min,A:min
A:min,A:min7
A:min7,D
D,F
F,Bb
Bb,G:min
G:min,C:min
C:min,D:7
D:7,G:min
G:min,C:min
C:min,D
D,G
G,A:min7
A:min7,G/3
G/3,C
C,G
G,A:min7
A:min7,G/3
G/3,C
C,F#:min
F#:min,B:7
B:7,F#:min
F#:min,B
B,E:min
E:min,A:min
A:min,A:min7
A:min7,D
D,F
F,Bb
Bb,G:min
G:min,C:min
C:min,D:7
D:7,G:min
G:min,C:min
C:min,D:7
D:7,G
G,A:min7
A:min7,G/3
G/3,C
C,G
G,A:min7
A:min7,G/3
G/3,C
C,F#:min
F#:min,B:7
B:7,F#:min
F#:min,B:7
B:7,E:min
E:min,A:min
A:min,A:min7
A:min7,D:7
D:7,D
D,G
G,A:min7
A:min7,G/3
G/3,C
C,G
G,A:min7
A:min7,G/3
G/3,C
C,G
G,N
N,N
N,F#
F#,C#
C#,B
B,F#
F#,D#:min
D#:min,G#:min
G#:min,G#:min
G#:min,C#
C#,B
B,C#
C#,B
B,F#
F#,D#:min
D#:min,G#:min
G#:min,G#:min
G#:min,C#
C#,B
B,C#
C#,B
B,F#
F#,D#:min
D#:min,G#:min
G#:min,G#:min
G#:min,C#
C#,B
B,C#
C#,B
B,F#
F#,D#:min
D#:min,G#:min
G#:min,G#:min
G#:min,C#
C#,F#
F#,C#
C#,F#
F#,F#
F#,C#
C#,F#
F#,C#
C#,B
B,F#
F#,D#:min
D#:min,G#:min
G#:min,G#:min
G#:min,C#
C#,B
B,C#
C#,B
B,F#
F#,F#
F#,C#
C#,B
B,F#
F#,C#
C#,C#
C#,F#
F#,F#
F#,C#
C#,C#
C#,F#
F#,C#
C#,B
B,F#
F#,D#:min
D#:min,G#:min
G#:min,G#:min
G#:min,C#
C#,B
B,C#
C#,B
B,F#
F#,D#:min
D#:min,G#:min
G#:min,G#:min
G#:min,C#
C#,B
B,C#
C#,B
B,F#
F#,D#:min
D#:min,G#:min
G#:min,G#:min
G#:min,C#
C#,B
B,C#
C#,B
B,F#
F#,D#:min
D#:min,G#:min
G#:min,G#:min
G#:min,C#
C#,F#
F#,C#
C#,F#
F#,F#
F#,C#
C#,F#
F#,F#
F#,C#
C#,C#
C#,F#
F#,F#
F#,C#
C#,C#
C#,F#
F#,N
N,N
N,Bb
Bb,Bb
Bb,Bb
Bb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Bb
Bb,Ab:maj(9)
Ab:maj(9),Eb
Eb,Bb
Bb,Ab:maj(9)
Ab:maj(9),Eb
Eb,Bb
Bb,Ab:maj(9)
Ab:maj(9),Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Bb
Bb,Ab
Ab,Bb
Bb,Ab
Ab,Bb
Bb,F:min
F:min,Bb
Bb,Eb
Eb,Bb
Bb,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Bb
Bb,Ab
Ab,Bb
Bb,Ab
Ab,Bb
Bb,F:min
F:min,Bb
Bb,Eb
Eb,Bb
Bb,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Bb
Bb,Ab
Ab,Eb
Eb,Bb
Bb,Bb
Bb,N
N,N
N,E
E,B
B,F#
F#,B
B,F#
F#,E:7
E:7,A
A,F#:7
F#:7,B:7
B:7,E:7
E:7,A
A,A
A,F#:7
F#:7,B:7
B:7,E:7
E:7,A
A,B
B,F#
F#,B
B,F#
F#,E:7
E:7,A
A,F#:7
F#:7,B:7
B:7,E:7
E:7,A
A,D
D,B:7
B:7,E:7
E:7,A:7
A:7,D
D,B
B,F#
F#,B
B,F#
F#,E:7
E:7,A
A,F#:7
F#:7,B:7
B:7,E:7
E:7,A
A,A
A,F#:7
F#:7,B:7
B:7,E:7
E:7,A
A,B
B,F#
F#,B
B,F#
F#,E:7
E:7,B
B,F#
F#,B
B,F#
F#,E:7
E:7,F:7
F:7,N
N,N
N,E
E,E
E,F#:min
F#:min,A
A,E
E,E
E,F#:min
F#:min,A
A,E
E,G#:min
G#:min,G:aug
G:aug,B/5
B/5,F:dim
F:dim,E
E,F#:min
F#:min,B
B,E
E,F#:min
F#:min,A
A,E
E,G#:min
G#:min,G:aug
G:aug,B/5
B/5,F:dim
F:dim,E
E,F#:min
F#:min,B
B,E
E,E/7
E/7,E/6
E/6,E/5
E/5,E
E,F#:min
F#:min,A
A,E
E,E
E,F#:min
F#:min,A
A,E
E,E
E,A/5
A/5,N
N,N
N,B
B,B/7
B/7,G#:min
G#:min,B/5
B/5,E
E,A:7
A:7,B
B,B
B,B/7
B/7,G#:min
G#:min,B/5
B/5,E
E,A:7
A:7,B
B,C#:min
C#:min,G#:7
G#:7,C#:min
C#:min,C#:min
C#:min,G#:7
G#:7,C#:min
C#:min,F#:sus4
F#:sus4,F#
F#,B
B,B/7
B/7,G#:min
G#:min,B/5
B/5,E
E,A:7
A:7,B
B,B
B,B/7
B/7,G#:min
G#:min,B/5
B/5,E
E,A:7
A:7,B
B,C#:min
C#:min,G#:7
G#:7,C#:min
C#:min,C#:min
C#:min,G#:7
G#:7,C#:min
C#:min,F#:sus4
F#:sus4,F#
F#,B
B,B/7
B/7,G#:min
G#:min,B/5
B/5,E
E,A:7
A:7,B
B,B
B,B/7
B/7,G#:min
G#:min,B/5
B/5,E
E,A:7
A:7,B
B,C#:min
C#:min,G#:7
G#:7,C#:min
C#:min,C#:min
C#:min,G#:7
G#:7,C#:min
C#:min,F#:sus4
F#:sus4,F#
F#,N
N,N
N,A
A,A
A,F#
F#,E
E,F#
F#,B
B,A
A,F#
F#,E
E,F#
F#,B
B,B
B,E/5
E/5,B
B,B
B,E/5
E/5,A
A,F#
F#,E
E,F#
F#,B
B,B
B,E/5
E/5,B
B,B
B,E/5
E/5,A
A,F#
F#,B
B,E/5
E/5,B
B,N
N,A
A,D:sus4/5
D:sus4/5,D/5
D/5,A
A,D:sus4/5
D:sus4/5,D/5
D/5,A
A,D:sus4/5
D:sus4/5,D/5
D/5,A
A,D:sus4/5
D:sus4/5,D/5
D/5,A
A,B
B,E:maj(b9)
E:maj(b9),A
A,D:sus4/5
D:sus4/5,D/5
D/5,A
A,B
B,E:maj(b9)
E:maj(b9),A
A,D:sus4/5
D:sus4/5,D/5
D/5,B:min
B:min,B:dim
B:dim,A
A,B
B,B:min
B:min,B:dim
B:dim,A
A,A:sus4
A:sus4,A
A,B
B,E:maj(b9)
E:maj(b9),A
A,D:sus4/5
D:sus4/5,D/5
D/5,B:min
B:min,B:dim
B:dim,A
A,B
B,B:min
B:min,B:dim
B:dim,A
A,A:sus4
A:sus4,A
A,B
B,E:maj(b9)
E:maj(b9),A
A,D:sus4/5
D:sus4/5,D/5
D/5,A
A,D:sus4/5
D:sus4/5,D/5
D/5,A
A,D:sus4/5
D:sus4/5,D/5
D/5,A
A,D:sus4/5
D:sus4/5,D/5
D/5,A
A,D:sus4/5
D:sus4/5,D/5
D/5,A
A,N
N,N
N,G
G,F:maj(9)/9
F:maj(9)/9,G
G,G
G,F:maj(9)/9
F:maj(9)/9,G
G,F:maj(9)/9
F:maj(9)/9,B:min
B:min,B:min/7
B:min/7,B:min/b7
B:min/b7,B:min/6
B:min/6,B:min
