Source,Target
N,G:maj(*1)/5
G:maj(*1)/5,G
G,G
G,C
C,G/3
G/3,A:min7
A:min7,C/5
C/5,G
G,C
C,G/3
G/3,A:min7
A:min7,C/5
C/5,G
G,D
D,C
C,G
G,D
D,C
C,G
G,C
C,G
G,G:maj(*1)/5
G:maj(*1)/5,G
G,G
G,C
C,G/3
G/3,A:min7
A:min7,C/5
C/5,G
G,C
C,G/3
G/3,A:min7
A:min7,C/5
C/5,G
G,D
D,C
C,G
G,D
D,C
C,G
G,C
C,G
G,N
N,Bb
Bb,D:min
D:min,G:min
G:min,A:min
A:min,D
D,G
G,C
C,G/3
G/3,A:min7
A:min7,C/5
C/5,G
G,C
C,G/3
G/3,A:min7
A:min7,C/5
C/5,G
G,D
D,C
C,G
G,D
D,C
C,G
G,C
C,G
G,N
N,Bb
Bb,D:min
D:min,G:min
G:min,A:min
A:min,D
D,G
G,C
C,G/3
G/3,A:min7
A:min7,C/5
C/5,G
G,C
C,G/3
G/3,A:min7
A:min7,C/5
C/5,G
G,D
D,C
C,G
G,D
D,C
C,G
G,C
C,G
G,N
N,G:maj(*1)/5
G:maj(*1)/5,G
G,N
N,N
N,N
N,G
G,N
N,G
G,D
D,A
A,G
G,D
D,A
A,A
A,F#:min
F#:min,B:min
B:min,G
G,B:min
B:min,G
G,E
E,A
A,F#:min
F#:min,B:min
B:min,G
G,B:min
B:min,G
G,E
E,G
G,D
D,A
A,G
G,D
D,A
A,N
N,A
A,F#:min
F#:min,B:min
B:min,G
G,B:min
B:min,G
G,E
E,A
A,F#:min
F#:min,B:min
B:min,G
G,B:min
B:min,G
G,E
E,G
G,D
D,A
A,G
G,D
D,A
A,A
A,F#:min
F#:min,B:min
B:min,G
G,B:min
B:min,G
G,E
E,A
A,F#:min
F#:min,B:min
B:min,G
G,B:min
B:min,G
G,E
E,A
A,F#:min
F#:min,B:min
B:min,G
G,B:min
B:min,G
G,E
E,G
G,D
D,A
A,G
G,D
D,A
A,N
N,G
G,D
D,A
A,G
G,D
D,A
A,A
A,N
N,N
N,Db
Db,Db:maj7
Db:maj7,F:min
F:min,Ab:maj6
Ab:maj6,Db
Db,Bb:min
Bb:min,F:min
F:min,Eb:min7
Eb:min7,Ab
Ab,Ab:7
Ab:7,Db
Db,Bb:min
Bb:min,F:min
F:min,Eb:min7
Eb:min7,Gb:min
Gb:min,Db
Db,Ab
Ab,Ab
Ab,Gb
Gb,Db
Db,Ab
Ab,Gb
Gb,Db
Db,Db
Db,Bb:min
Bb:min,F:min
F:min,Eb:min7
Eb:min7,Ab
Ab,Ab:7
Ab:7,Db
Db,Bb:min
Bb:min,F:min
F:min,Eb:min7
Eb:min7,Ab
Ab,Ab:7
Ab:7,Db
Db,Ab
Ab,Ab
Ab,Gb
Gb,Db
Db,Ab
Ab,Gb
Gb,Db
Db,Db
Db,Bb:min
Bb:min,F:min
F:min,Eb:min7
Eb:min7,Gb:min
Gb:min,Db
Db,Bb:min
Bb:min,F:min
F:min,Eb:min7
Eb:min7,Ab
Ab,Ab:7
Ab:7,Db
Db,Ab
Ab,Ab
Ab,Gb
Gb,Db
Db,Ab
Ab,Gb
Gb,Db
Db,Db
Db,N
N,N
N,A:min
A:min,A:min/b3
A:min/b3,D
D,G
G,E:7
E:7,A:min
A:min,A:min/b3
A:min/b3,D
D,G
G,E:7
E:7,A:min
A:min,A:min
A:min,A:min/b3
A:min/b3,D
D,G
G,E:7
E:7,A:min
A:min,D:min
D:min,D:min/b3
D:min/b3,E
E,F#:hdim7/b7
F#:hdim7/b7,E:7
E:7,A:min
A:min,G#:aug
