Source,Target
N,F#
F#,C#:min
C#:min,E
E,C#:min
C#:min,A
A,G:dim7
G:dim7,E
E,E
E,E
E,C
C,E
E,E
E,C
C,E
E,E
E,C#:min
C#:min,E
E,C#:min
C#:min,A
A,G:dim7
G:dim7,E
E,E
E,B:aug/3
B:aug/3,B:min/b3
B:min/b3,C#:7
C#:7,A
A,B
B,F#:min7
F#:min7,B
B,E
E,C
C,E
E,E
E,C
C,E
E,E
E,C#:min
C#:min,E
E,C#:min
C#:min,A
A,G:dim7
G:dim7,E
E,E
E,E
E,B:aug/3
B:aug/3,B:min/b3
B:min/b3,C#:7
C#:7,A
A,B
B,F#:min7
F#:min7,B
B,E
E,C
C,E
E,E
E,C
C,E
E,E
E,C#:min
C#:min,E
E,C#:min
C#:min,A
A,G:dim7
G:dim7,E
E,G:7
G:7,F#:7
F#:7,F:7
F:7,E:maj7
E:maj7,N
N,N
N,"E:aug(9,11)"
"E:aug(9,11)",C#:min
C#:min,E
E,C#:min
C#:min,F#:min
F#:min,A:min
A:min,E
E,C#:min
C#:min,E
E,C#:min
C#:min,F#:min
F#:min,A:min
A:min,E
E,A
A,C#:min
C#:min,A
A,E
E,C#:min
C#:min,A
A,E
E,E/5
E/5,E
E,C#:min
C#:min,E
E,C#:min
C#:min,F#:min
F#:min,A:min
A:min,E
E,A
A,C#:min
C#:min,A
A,E
E,C#:min
C#:min,A
A,E
E,E/5
E/5,A
A,E
E,E/5
E/5,E
E,C#:min
C#:min,E
E,C#:min
C#:min,N
N,N
N,C#:min
C#:min,F#:min
F#:min,B
B,E
E,C#:min
C#:min,A
A,F#:min
F#:min,D
D,B
B,F#:min
F#:min,B
B,E
E,C#:min
C#:min,A
A,B
B,E
E,F#:min
F#:min,B
B,E
E,C#:min
C#:min,A
A,F#:min
F#:min,D
D,B
B,F#:min
F#:min,B
B,E
E,C#:min
C#:min,A
A,B
B,E
E,C#:min
C#:min,C:aug
C:aug,E
E,C#:min
C#:min,C:aug
C:aug,E
E,A:7
A:7,E
E,F#:min
F#:min,B
B,E
E,F#:min
F#:min,B
B,E
E,C#:min/4
C#:min/4,C#:min/5
C#:min/5,C#:min
C#:min,A
A,F#:min
F#:min,D
D,B
B,F#:min
F#:min,B
B,E
E,C#:min
C#:min,A
A,B
B,E
E,C#:min
C#:min,C:aug
C:aug,E
E,C#:min
C#:min,C:aug
C:aug,E
E,C#:min
C#:min,E
E,C#:min
C#:min,E
E,N
N,N
N,D
D,E:min
E:min,B:min
B:min,A
A,G
G,E
E,B:min
B:min,A
A,G
G,E:min
E:min,A
A,E:min
E:min,E:min
E:min,B:min
B:min,A
A,G
G,E
E,B:min
B:min,A
A,G
G,G
G,E:min
E:min,A
A,E:min
E:min,E:min
E:min,D
D,E:min
E:min,D
D,E:min
E:min,B:min
B:min,A:min
A:min,C
C,E:min
E:min,E:min
E:min,B:min
B:min,A
A,G
G,E
E,B:min
B:min,A
A,G
G,G
G,E:min
E:min,A
A,E:min
E:min,E:min
E:min,B:min
B:min,A
A,G
G,E
E,B:min
B:min,A
A,G
G,G
G,E:min
E:min,A
A,E:min
E:min,E:min
E:min,D
D,E:min
E:min,D
D,E:min
E:min,B:min
B:min,A:min
A:min,C
C,E:min
E:min,B:min
B:min,A
A,G
G,E
E,B:min
B:min,A
A,G
G,G
G,E:min
E:min,A
A,E:min
E:min,A
A,E:min
E:min,A
A,E:min
E:min,A
A,E:min
E:min,A
A,N
N,N
N,E
E,A
A,E:9
E:9,E
E,A
A,E
E,B
B,A
A,F#:9
F#:9,B
B,E
E,A
A,E
E,B
B,A
A,F#:9
F#:9,B
B,E
E,E
E,B
B,E
E,E
E,F#
F#,B
B,E
E,A
A,E
E,B
B,A
A,F#:9
F#:9,B
B,E
E,E
E,A
A,E
E,B
B,A
A,F#
F#,B
B,E
E,B
B,E
E,F#
F#,B
B,E
E,A
A,E
E,B
B,A
A,F#
F#,B
B,E
E,C#
C#,F#
F#,B
B,E
E,C#
C#,F#
F#,B
B,E
E,C#
C#,F#
F#,B
B,E
E,N
N,N
N,F
F,F#:dim
F#:dim,G:min
G:min,C:9
C:9,F
F,F#:dim
F#:dim,G:min
G:min,C:9
C:9,F
F,F#:dim
F#:dim,G:min
G:min,Bb:min
Bb:min,F
F,A:min
A:min,G#:min
G#:min,G:min
G:min,C:9
C:9,F
F,G:min7
G:min7,C:9
C:9,F
F,F#:dim
F#:dim,G:min
G:min,Bb:min
Bb:min,F
F,A:min
A:min,G#:min
G#:min,G:min
G:min,C:9
C:9,F
F,F:9
F:9,Bb
Bb,Bb:min
Bb:min,F
F,D:9
D:9,G:min
G:min,G:minmaj7
G:minmaj7,G:7
G:7,C:9
C:9,C:7
C:7,F
F,F#:dim
F#:dim,G:min
G:min,Bb:min
Bb:min,F
F,A:min
A:min,G#:min
G#:min,G:min
G:min,C:9
C:9,F
F,G:min7
G:min7,C:9
C:9,F
F,F#:dim
F#:dim,G:min
G:min,Bb:min
Bb:min,F
F,A:min
A:min,G#:min
G#:min,G:min
G:min,F#:7(#9)
F#:7(#9),F
F,F:9
F:9,Bb
Bb,Bb:min
Bb:min,F
F,D:9
D:9,G:min
G:min,G:minmaj7
G:minmaj7,G:7
G:7,C:9
C:9,C:7
C:7,F
F,F#:dim
F#:dim,G:min
G:min,Bb:min
Bb:min,F
F,A:min
A:min,G#:min
G#:min,G:min
G:min,C:9
C:9,F
F,F
F,C:7
C:7,B:7
B:7,C:7/5
