Source,Target
N,D:min
D:min,D:min
D:min,A
A,G:7
G:7,N
N,D:min
D:min,D:min
D:min,A
A,G:7
G:7,B:min
B:min,A
A,G
G,A
A,D:min
D:min,D:min
D:min,A
A,G:7
G:7,B:min
B:min,A
A,G
G,A
A,D:min
D:min,D:min
D:min,A
A,D:min
D:min,D:min
D:min,A
A,G:7
G:7,B:min
B:min,A
A,G
G,A
A,D:min
D:min,D:min
D:min,N
N,N
N,F
F,Eb
Eb,G/5
G/5,C
C,E:min/5
E:min/5,C:7
C:7,F
F,C/3
C/3,D
D,G
G,G:sus4(2)/2
G:sus4(2)/2,G/3
G/3,A:min
A:min,Ab:aug
Ab:aug,C/5
C/5,D:7
D:7,F
F,Eb
Eb,G/5
G/5,C
C,E:min/5
E:min/5,C:7
C:7,F
F,C/3
C/3,D
D,G
G,G:sus4(2)/2
G:sus4(2)/2,G/3
G/3,A:min
A:min,Ab:aug
Ab:aug,C/5
C/5,D:7
D:7,F
F,Eb
Eb,G/5
G/5,A
A,A
A,C#:min/5
C#:min/5,F#:min
F#:min,A/5
A/5,D
D,G
G,A
A,A/7
A/7,A/b7
A/b7,A/6
A/6,A/b6
A/b6,A/5
A/5,A
A,C#:min/5
C#:min/5,F#:min
F#:min,A/5
A/5,D
D,G
G,C
C,C/7
C/7,C/6
C/6,C/5
C/5,C/3
C/3,C/2
C/2,C
C,E:min/5
E:min/5,C:7
C:7,F
F,C/3
C/3,D
D,G
G,G:sus4(2)/2
G:sus4(2)/2,G/3
G/3,A:min
A:min,Ab:aug
Ab:aug,C/5
C/5,D:7
D:7,F
F,Eb
Eb,G/5
G/5,C
C,E:min/5
E:min/5,C:7
C:7,F
F,C/3
C/3,D
D,G
G,G:sus4(2)
G:sus4(2),G/3
G/3,A:min
A:min,Ab:aug
Ab:aug,C/5
C/5,D:7
D:7,F
F,Eb
Eb,G/5
G/5,A
A,F
F,Eb
Eb,G/5
G/5,C
C,N
N,N
N,D
D,F#:min/5
F#:min/5,B
B,E:min
E:min,E:min/5
E:min/5,E:min
E:min,E:min/b7
E:min/b7,E:min/6
E:min/6,E:min/5
E:min/5,A
A,A/3
A/3,A/5
A/5,A
A,D
D,D/7
D/7,D/6
D/6,A
A,A/2
A/2,A/3
A/3,D
D,F#:min/5
F#:min/5,B
B,B/5
B/5,B
B,E:min
E:min,E:min/5
E:min/5,E:min
E:min,E:min/b7
E:min/b7,E:min/6
E:min/6,E:min/5
E:min/5,A
A,A/3
A/3,A/5
A/5,A/3
A/3,A/5
A/5,D
D,D/7
D/7,D/6
D/6,A/3
A/3,E:7
E:7,A
A,A/3
A/3,A/2
A/2,A
A,D
D,D/5
D/5,D
D,D:maj(*1)/#1
D:maj(*1)/#1,E:7
E:7,E:7/5
E:7/5,E:7
E:7,A:7
A:7,A:7/5
A:7/5,A:7
A:7,E:min
E:min,A
A,D
D,D
D,F#/5
F#/5,B:min
B:min,D:7/5
D:7/5,G
G,G/2
G/2,G/3
G/3,G/#4
G/#4,D
D,D
D,F#:min/5
F#:min/5,B
B,B/5
B/5,B
B,E:min
E:min,E:min/5
E:min/5,E:min
E:min,E:min/b7
E:min/b7,E:min/6
E:min/6,E:min/5
E:min/5,A
A,A/3
A/3,A/5
A/5,A/3
A/3,A/5
A/5,D
D,D/7
